rule_id,module,source,description
r1,m1.py,ganzhi_days.csv（gen_ganzhi.py 儒略日公式）,日柱：真太阳时日期查表
r2,m1.py,rules.py 五鼠遁（甲己甲子…戊癸壬子）,时柱：真太阳时时支起五鼠遁（子正口径 23/0→子）
r3,m1.py,solar_terms.csv（立春权威）,年柱：立春换年（真太阳时≥当年立春）
r4,m1.py,solar_terms.csv（12 节权威）,月柱：节换月（五虎遁定月干）
r5,m1.py,rules.py 五行关系 + canggan.csv 藏干,十神：日干对四干四支藏干取比肩/印/官杀/财/食伤
bd-01,l3_bazi_daliu.py,《渊海子平》大运排法（阳男阴女顺/阴男阳女逆，月柱起）,大运排法：顺逆+一步十年
bd-02,l3_bazi_daliu.py,起运岁数=顺逆最近节间隔÷3（1天=4月/1时辰=10天）,起运岁数：真太阳时至最近节分钟精度折算
bd-03,l3_bazi_daliu.py,m1 r3 立春换年 + r5 十神,流年：立春换年逐流年十神
bd-04,l3_bazi_daliu.py,m1 r4 节换月（五虎遁）+ r5 十神,流月：节换月逐流月十神
bd-05,l3_bazi_daliu.py,rules.py 干支五行 + canggan.csv 藏干 +《三命通会》旺衰,大运流年五行旺衰分布
cg-01,l3_chenggu.py,《称骨歌》骨重表（卜易居+astrologybazi 两 oracle 互证）,年月日时四值骨重（农历口径）
cg-02,l3_chenggu.py,《称骨歌》总量合成,四值骨重合计（两/钱）
cg-03,l3_chenggu.py,《称骨歌》断语（男命/女命 51 档）,断语检索（性别分档）
hlyl-01,l3_heluolishu.py,网传太玄数起卦派（干支同数表）,《太玄数》干支取数（天/地数）
hlyl-02,l3_heluolishu.py,先天八卦数（乾1…坤8），余0取坤,天数÷8上卦、地数÷8下卦→命卦
hlyl-03,l3_heluolishu.py,按数取爻（男天数/女地数÷6）,元堂（动爻）定位
hlyl-04,l3_heluolishu.py,元堂爻动变卦（shen_gua）,身卦与命卦对照（后天卦）
hlyl-05,l3_heluolishu.py,《河洛理数》断语体系（化炁/卦辞推演）,断语推演（规则启发式）
hp-00,l3_hepan.py,《渊海子平》《三命通会》《滴天髓》,合盘总容器：全字段带 rule_id/source/alt
hp-01,l3_hepan.py,《渊海子平》十干合/论三刑《三命通会》论六合/论冲/论三合/论六害,结构互动：天干五合/相克、地支六合/三合半合/六冲/三刑/六害
hp-02,l3_hepan.py,r5 十神互定位,十神互定位：双方十神互补/比劫
hp-03,l3_hepan.py,《渊海子平》《三命通会》婚配口诀 + nayin.csv,夫妻宫：日支六合/六冲/三刑+生肖六合三合六冲+纳音
hp-04,l3_hepan.py,四场景规则（婚姻/事业/合作/健康）,四场景合盘评估
hp-05,l3_hepan.py,流年干支引动（hp-01 规则+桃花红鸾天喜）,流年合盘：应期窗口
hp-06,l3_hepan.py,l3_liuyao 六爻测事（官鬼/妻财/兄弟用神）,六爻测事接线（代占）
hp-07,l3_hepan.py,单盘代占（对象八字未知）,《渊海子平》用神表,代占直断（单盘）
hl-01,l3_huangli.py,《协纪辨方书》卷三建除（节气月建）,建除十二神（节气月建口径）
hl-02,l3_huangli.py,《协纪辨方书》卷五黄黑道引《考原》,日黄黑道值神（青龙…勾陈）
hl-02b,l3_huangli.py,《协纪辨方书》卷七按语（除危定执成开为黄道）,建除配黄黑道（与值神并存）
hl-02h,l3_huangli.py,《协纪辨方书》卷五『日起时则子日申时起青龙』,时黄黑道（按日支起）
hl-03,l3_huangli.py,15 项择日神煞（《协纪辨方书》+《渊海子平》《三命通会》）,每日宜忌神煞 15 项容器
hl-03-01,l3_huangli.py,《协纪辨方书》月德条（三合局）,月德
hl-03-02,l3_huangli.py,《协纪辨方书》天德条,天德
hl-03-03,l3_huangli.py,《协纪辨方书》月恩条（月建所生之干）,月恩
hl-03-04,l3_huangli.py,《协纪辨方书》天赦条,天赦
hl-03-05,l3_huangli.py,《协纪辨方书》驿马条（《历例》）,驿马
hl-03-06,l3_huangli.py,《协纪辨方书》咸池条（《历例》）,咸池（桃花）
hl-03-07,l3_huangli.py,《渊海子平·论红艳煞》,红艳
hl-03-08,l3_huangli.py,《协纪辨方书》劫煞条,劫煞
hl-03-09,l3_huangli.py,《协纪辨方书》亡神条,亡神
hl-03-10,l3_huangli.py,《协纪辨方书》四废条,四废
hl-03-11,l3_huangli.py,《三命通会·论十恶大败》（黄历择日同用）,十恶大败
hl-03-12,l3_huangli.py,《协纪辨方书》天德合条,天德合
hl-03-13,l3_huangli.py,《协纪辨方书》月德合条,月德合
hl-03-14,l3_huangli.py,《协纪辨方书》归忌条（《玉匣记》同）,归忌
hl-03-15,l3_huangli.py,《协纪辨方书》往亡条,往亡
hl-03b,l3_huangli.py,建除吉凶属性+神煞组合规则,宜忌生成
hl-04,l3_huangli.py,黄历择日接口（避忌组合规则）,择日接口
nr-01,l3_liuren.py,《六壬大全》月将·太阳过宫（中气换将）,月将：中气→月将（雨水亥…大寒子）
nr-01/nr-02,l3_liuren.py,月将加时布天盘；贵神加临布天将,天地盘合成（月将+贵人双规则复合）
nr-02,l3_liuren.py,《六壬大全》贵人歌诀（易安居实测校正壬癸夜贵=亥）,贵人：昼夜贵（旦暮分界卯酉）
nr-03,l3_liuren.py,《六壬大全》日干寄宫口诀,四课：干上神/支上神两两相生
nr-04,l3_liuren.py,《六壬大全》九宗门（贼克/比用/涉害/遥克/昴星/别责/八专/伏吟/返吟）,三传：九宗门起三传
nr-04（行年）,l3_liuren.py,易安居 oracle 实测公式（男+2/女+4，底本出处待考）,行年起法
ly-01,l3_liuyao.py,《梅花易数》时间/数字起卦（÷8÷6）,起卦：时间/数字/单数
ly-02,l3_liuyao.py,data/najia.csv（京房纳甲歌推算存表）,纳甲：装卦地支与六亲卦宫
ly-03,l3_liuyao.py,本宫五行 vs 爻纳支五行,六亲：兄弟/父母/子孙/官鬼/妻财
ly-04,l3_liuyao.py,日干起六神（甲乙青龙…壬癸玄武）,六神：自初爻起六神
ly-05,l3_liuyao.py,《增删卜易》世应诀,世应定位
ly-06,l3_liuyao.py,月建日辰对爻支五行生克冲合,旺衰：月建日辰（止于排卦不作断卦 I-7）
mh-01,l3_meihua.py,《梅花易数》时间起卦（农历法）,时间起卦：年支序+农历月日÷8÷6
mh-02,l3_meihua.py,《梅花易数》报数起卦,报数起卦（2 数/3 数）
mh-03,l3_meihua.py,《梅花易数》字数起卦（奇数上少下多）,字数起卦
mh-04,l3_meihua.py,《梅花易数》卦象展开,本卦/互卦/变卦展开
