category,item,mean_text,detail_text,source_ref
用神取用,日干,己方（求测人）,日干落宫为求测人自身：宫旺相吉格生扶为有利，逢门迫/入墓/击刑为不利,《奇门遁甲统宗》·用神篇（通行口径）
用神取用,时干,事体（所测之事）,时干落宫为所测之事体：时干宫与日干宫的生克比合定吉凶,《奇门遁甲统宗》·用神篇（通行口径）
用神取用,值符,领导·首脑·统御者,值符落宫为领导/首脑/统御方：值符宫吉格多则领导得力，凶格多则受制,《奇门遁甲统宗》·值符篇（通行口径）
用神取用,值使,执行·门户·下属,值使门落宫为执行与门户：值使门得生旺与三吉门为畅通，伏吟反吟为阻滞,《奇门遁甲统宗》·值使篇（通行口径）
十干类象,甲,首领·元首·尊贵,甲为十干之首，遁于六仪之下，主首领/尊贵/隐藏,《烟波钓叟歌》十干类象（通行版）
十干类象,乙,花草·柔和·医者,乙为阴柔之干：主花草树木、医药、妻室、曲折迂回,《烟波钓叟歌》十干类象（通行版）
十干类象,丙,太阳·光明·权威,丙为阳火：主太阳、光明、文书、权威、急躁,《烟波钓叟歌》十干类象（通行版）
十干类象,丁,星火·希望·灵动,丁为阴火：主星火、烛光、希望、灵动、信息,《烟波钓叟歌》十干类象（通行版）
十干类象,戊,高山·城墙·资本,戊为阳土：主高山、城墙、资本、阻隔、诚信,《烟波钓叟歌》十干类象（通行版）
十干类象,己,田园·陷阱·阴私,己为阴土：主田园、阴私、陷阱、柔顺、蓄养,《烟波钓叟歌》十干类象（通行版）
十干类象,庚,刀剑·肃杀·阻碍,庚为阳金：主刀剑、肃杀、阻隔、敌人、刚烈,《烟波钓叟歌》十干类象（通行版）
十干类象,辛,珠玉·首饰·过错,辛为阴金：主珠玉、首饰、罪错、变革、清新,《烟波钓叟歌》十干类象（通行版）
十干类象,壬,江河·流动·险陷,壬为阳水：主江河、流动、险陷、谋划、聪慧,《烟波钓叟歌》十干类象（通行版）
十干类象,癸,雨露·阴谋·洗涤,癸为阴水：主雨露、阴谋、洗涤、隐伏、迷茫,《烟波钓叟歌》十干类象（通行版）
九星类象,天蓬,贪狼·盗贼·大智,主胆大/机巧，宜守不宜攻；逢盗贼/水灾之象,《奇门遁甲统宗》九星篇
九星类象,天芮,巨门·疾病·柔顺,主疾病/阴私，坤土之象，利守不利攻,《奇门遁甲统宗》九星篇
九星类象,天冲,禄存·勇猛·冲动,主勇猛/雷厉，动象，利主动出击,《奇门遁甲统宗》九星篇
九星类象,天辅,文曲·文昌·教育,主文昌/辅佐/教化，百事皆宜,《奇门遁甲统宗》九星篇
九星类象,天禽,廉贞·中正·统摄,居中宫主统摄/中正，寄坤宫而用,《奇门遁甲统宗》九星篇
九星类象,天心,武曲·医疗·谋划,主医疗/谋略/刚断，宜施恩布德,《奇门遁甲统宗》九星篇
九星类象,天柱,破军·口舌·破坏,主口舌/破败/惊恐，宜守不宜动,《奇门遁甲统宗》九星篇
九星类象,天任,左辅·任重·诚信,主诚信/任重道远，利求名求官,《奇门遁甲统宗》九星篇
九星类象,天英,右弼·礼乐·虚华,主礼乐/明察/虚华，宜远行/诉讼，忌婚嫁,《奇门遁甲统宗》九星篇
八门类象,休门,休养生息·贵人,吉门：主休养/贵人/求谋，百事可谋,《奇门遁甲统宗》八门篇
八门类象,生门,生机·财利·产业,吉门：主生财/产业/阳宅，百事皆宜,《奇门遁甲统宗》八门篇
八门类象,伤门,伤损·捕捉·竞争,凶门：主伤损/竞争/捕捉，宜讨债/狩猎,《奇门遁甲统宗》八门篇
八门类象,杜门,闭塞·隐匿·技术,平门：主闭塞/隐匿/技术，宜捕盗/避灾,《奇门遁甲统宗》八门篇
八门类象,景门,文书·声名·口舌,平门：主文书/声名/空幻，宜上书/远行,《奇门遁甲统宗》八门篇
八门类象,死门,死亡·丧葬·绝地,凶门：主丧葬/刑伤/求财不利，宜吊唁/捕猎,《奇门遁甲统宗》八门篇
八门类象,惊门,惊恐·口舌·诉讼,凶门：主惊恐/口舌/官司，宜防盗/诉讼,《奇门遁甲统宗》八门篇
八门类象,开门,开创·官禄·出行,吉门：主开创/官禄/出行，百事皆宜,《奇门遁甲统宗》八门篇
八神类象,值符,天乙·尊贵·统御,八神之首：主贵人/统御/印信，吉神,《奇门遁甲统宗》八神篇
八神类象,腾蛇,虚惊·怪异·缠绕,主虚惊/怪异/纠缠，凶神,《奇门遁甲统宗》八神篇
八神类象,太阴,暗中相助·女贵,主暗中帮扶/阴私，吉神（佐）,《奇门遁甲统宗》八神篇
八神类象,六合,和合·婚姻·中介,主和合/婚姻/经纪，吉神,《奇门遁甲统宗》八神篇
八神类象,白虎,凶暴·刑伤·兵革,主凶暴/刑伤/病灾，凶神,《奇门遁甲统宗》八神篇
八神类象,玄武,盗贼·暗昧·虚伪,主盗贼/暗昧/欺诈，凶神,《奇门遁甲统宗》八神篇
八神类象,九地,稳固·伏藏·迟缓,主坚固/伏藏/暗事，吉凶参半（佐）,《奇门遁甲统宗》八神篇
八神类象,九天,高远·飞升·变动,主高远/变动/威严，吉凶参半（佐）,《奇门遁甲统宗》八神篇
